,ES1 Index,NQ1 Index,Z 1 Index,VG1 Index,XU1 Index,NK1 Index,CL1 Comdty,CO1 Comdty,NG1 Comdty,XB1 Comdty,HO1 Comdty,HG1 Comdty,LA1 Comdty,LX1 Comdty,C 1 Comdty,S 1 Comdty,BO1 Comdty,LC1 Comdty,W 1 Comdty,GC1 Comdty,PL1 Comdty,FV1 Comdty,TY1 Comdty,RX1 Comdty,JB1 Comdty,PnL,Pct_PnL,CumPnL
11/1/2017,386212.5,374445,1126387.316,763232.6362,192375,392888.4218,-162900,-120980,-144650,0,0,0,-271562.5,248812.5,0,0,0,0,0,-255460,-281010,0,0,0,0,8422.26,8.42E-05,0.697407309
11/2/2017,386512.5,249430,1210728.233,-663793.1034,179550,197054.6985,-54540,-60620,-58700,0,0,0,-107955,246825,0,0,0,0,0,255620,-92780,0,0,0,0,43474.38,0.000434744,0.697710502
11/3/2017,129137.5,125810,1151716.755,-634734.6657,-179165,404818.5818,-166920,-186210,-59680,0,0,0,325500,81175,0,0,0,0,0,126920,92190,0,0,0,0,-90966.72,-0.000909667,0.697075818
11/6/2017,388312.5,378810,-400542.8593,633763.9966,539385,397502.4184,-172050,-128540,-125360,0,0,0,-323250,-244500,0,0,0,0,0,-256320,-280500,0,0,0,0,27804.45,0.000278045,0.697269636
11/7/2017,388012.5,378960,1137627.222,-220868.2144,182140,403297.9563,-171600,-127380,-157600,0,0,0,-317362.5,79950,0,0,0,0,0,-127580,-277590,0,0,0,0,2333.34,2.33E-05,0.697285906
11/8/2017,388650,380490,1143336.383,-220232.859,544110,201457.8028,-170430,-126980,-127000,0,0,0,-313987.5,242062.5,0,0,0,0,0,128370,-281370,0,0,0,0,-4547.85,-4.55E-05,0.697254194
11/9/2017,129200,126290,1192902.244,217239.306,182350,-201815.4578,-171510,-127860,-128000,0,0,0,-103850,80387.5,0,0,0,0,0,128750,-94060,0,0,0,0,-2872.88,-2.87E-05,0.697234163
11/10/2017,386925,378555,1179937.102,246000.8573,593212.5,198361.6665,-170220,-127040,-32130,0,0,0,-104250,244593.75,0,0,0,0,0,-127420,-279630,0,0,0,0,-6487.03,-6.49E-05,0.697188933
11/13/2017,387300,378720,394884.111,734996.143,197925,392184.4746,-170280,-126320,-158350,0,0,0,-261137.5,-243150,0,0,0,0,0,-255780,-280680,0,0,0,0,13197.78,0.000131978,0.697280946
11/14/2017,386700,377610,1179285.986,240854.3821,196800,395381.6323,-167100,-124420,-155100,0,0,0,-310500,237525,0,0,0,0,0,-128290,-278190,0,0,0,0,-19040.23,-0.000190402,0.697148183
11/15/2017,384750,375975,1229284.033,751844.6273,-195450,390503.1892,-165990,-123740,-154000,0,0,0,-314100,237975,0,0,0,0,0,-255540,-279930,0,0,0,0,19593.74,0.000195937,0.69728478
11/16/2017,387750,253640,1230716.18,241971.113,198300,396426.6761,-165420,-122720,-152650,0,0,0,-313650,237375,0,0,0,0,0,-255640,-280860,0,0,0,0,-16666.16,-0.000166662,0.697168569
11/17/2017,386437.5,252530,1227771.472,-240474.9788,563955,200267.6182,-169650,-125440,-61940,0,0,0,-104625,240037.5,0,0,0,0,0,-129650,-286380,0,0,0,0,16578.63,0.000165786,0.69728415
11/20/2017,387300,252640,-390593.1243,697664.7064,566475,394956.4909,-168270,-124440,-152350,0,0,0,-311175,-238650,0,0,0,0,0,-255060,-277080,0,0,0,0,16284.43,0.000162844,0.697397699
